feature,weight
INPP5D,-0.0578992104860598
ARL4C,0
DUSP2,0.0777482341259307
TMEM131,0
INPP4A,-0.04963212373428
LIMS1,0
CD8B,0
CD8A,-0.0241328392008111
GNLY,-0.0957946546491803
CAPG,0.0260308565948389
TMSB10,0.0605920252450043
EXOC6B,-0.00603248281191529
PELI1,-0.0737923059998325
REL,-0.085234321802534
ZFP36L2,0
SOS1,0
SRSF7,0.0397131436938801
BABAM2,-0.0812448248018348
ODC1,-0.0349715348574178
HPCAL1,0.109339689326531
ID2,-0.0409497251598917
CDK2AP2,0
PTPRCAP,-0.0253997367987233
CTSW,-0.0414317390599413
PLAAT4,0.000809229418017417
SLC3A2,-0.0481580888711042
AHNAK,-0.0570691036789608
FTH1,0
CD5,0
PTPRJ,-0.0475060512180008
CD82,0.0141597428244255
LDHA,0.0693229172610108
NUCB2,-0.0141761975695897
PDE3B,-0.025784777896802
UCP2,-0.00166978046650099
SYTL2,0
PICALM,-0.0968481888843501
TAF1D,-0.063877240295428
MAML2,-0.0116575577372459
BIRC3,-0.0168581040919774
SIK3,-0.0762381667253002
HSPA8,0
TUBB4B,0.022193623349571
HSPA5,-0.136754578889841
TXN,-0.0122115642080269
SEC61B,-0.0159486676359013
ZCCHC7,0
DNAJA1,0
MLLT3,0
LOC712661,-0.0338542800783707
CEMIP2,-0.0791467548195649
ANXA1,-0.0713680460550415
PFN1,-0.028810285314958
C1QBP,-0.0088034636223084
EIF5A,-0.0258393716587069
EIF4A1,-0.0318096726074951
KDM6B,-0.0170575288673029
PIK3R5,0
MAP2K3,-0.00422266610132735
SSH2,0
CPD,-0.0595230781380613
CCL4L1,0.0527582955971649
COPRS,0
CCL5,-0.0927569860701127
LOC100430627,0.164963254147126
LOC100426632,0.215443614581397
SPAG9,-0.11101320665304
TOB1,0.00439744648343935
PHB,0.00100042891409481
CISD3,0
CCR7,0.0288737222549996
STAT5B,0
PECAM1,0.168802063055836
RGS9,-0.128461850635094
PITPNC1,-0.00184151456903961
USP36,-0.0266555953903482
RNF213,0
ACTG1,0
CD7,0.126607653957472
HSPH1,0
RGCC,0.0744010361202355
EPSTI1,0
KLF12,0
GPR183,0.0682939205200671
BCL2,-0.0661694419885147
PMAIP1,-0.0668599535953816
TTC39C,-0.00368413908357907
ANKRD12,-0.0433937574388382
GZMM,-0.0382843411095254
CNN2,0
GADD45B,-0.0611763788497581
S1PR4,0.0226732694511861
JUNB,0.0396352500308256
IER2,0.0133629155582302
ADGRE5,0.00623394394952719
KLF2,0.0700161822821833
BST2,-0.0307815303669913
TYROBP,-0.0354438859249281
ZFP36,0.0246925636544696
SERTAD1,-0.0185425292346341
TGFB1,-0.0532299802079875
FOSB,0
PPP1R15A,-0.00203041868134095
FTL,0
FLT3LG,0
PRMT1,-0.0448207513555373
NKG7,-0.132139566157177
MYADM,0
PRKCB,-0.125497838228944
IL4R,0.0202921937635056
MT2A,0.0515755622606803
MT1E,0.0726225204080221
MT1M,0.0845934662494729
MT1X,0.0481145356337904
COTL1,0.0271704381420357
APRT,0.0189486565154595
LY6E-1,-0.100454677188999
SAT1,-0.00562626902499379
RBM3,-0.0539466834852868
TSPYL2,-0.0803417041746402
PGK1,0
ITM2A,-0.0174881140034117
TSC22D3,0.0378967292843385
SLC25A5,-0.000752863206806355
DDX3Y,-0.0985608583984368
