feature	weight
DNAH12	0
ARF4	0
SLMAP	0
DNASE1L3	0
ABHD6	0
FHIT	0
LRIG1	0
SUCLG2	0
TAFA1	0
TAFA4	0
FRMD4B	0
MITF	0
FOXP1	0
PROK2	0
PDZRN3	0
CHL1	0
LOC705671	0
ITPR1	0
BHLHE40	0
LOC106996841	0
CPNE9	0
FANCD2OS	0
HRH1	0
ATG7	0
SYN2	0
LOC100427851	0
PPARG	0
TRH	0
TMCC1	0
GATA2	0
MGLL	0
MCM2	0
LOC114676410	0
HEG1	0
KALRN	0
LOC114676420	0
CSTA	0
CD86	0
SLC15A2	0
EAF2	0
GPR156	0
ARHGAP31	0
LSAMP	0
TIGIT	0
CD200R1	0
CD200	0
SLC9C1	0
GCSAM	0
TAGLN3	0
PHLDB2	0
CD96	-0.0136773845934874
ZBED2	0
LOC106996773	0
NECTIN3	0
LOC114676434	0
MORC1	0
GUCA1C	0
LOC114676441	0
CBLB	0
ALCAM	0
LOC114676187	0
LOC106996686	0
NFKBIZ	0
LOC114676626	0
LOC699848	0
CMSS1	0
FILIP1L	0
ST3GAL6	0
GPR15	0
CLDND1	0
HTR1F	0
GBE1	0
ROBO2	0
ITGB2	0
AIRE	0
SIK1	0
TFF1	0
ABCG1	0
MX1	-0.00108762055770047
MX2	-0.0796943226348972
FAM3B	0
BACE2	0
ETS2	0
ERG	0
TTC3	0
HLCS	0
CHAF1B	0
LOC106997253	0
RUNX1	0
MRPS6	0
ITSN1	0
IFNGR2	0
OLIG1	0
LOC114676819	0
TCP10L	0
EVA1C	0
LOC114676823	0
TIAM1	0
LOC114676827	0
LOC106997288	0
LOC106997289	0
LOC106997296	0
APP	0
MIR155HG	0
LOC106997299	0
LOC711425	0
NRIP1	0
LOC694064	0
LIPI	0
PDGFA	0
GPR146	0
LOC114676859	0
LFNG	-0.00557135264387112
AMZ1	0
SDK1	0
RADIL	0
MMD2	0
ACTB	0
FSCN1	0
LOC721827	0
BHLHA15	0
SMURF1	0
AZGP1	0
GPC2	0
LOC100430179	0
SERPINE1	0
VGF	0
HSPB1	0
TMEM120A	0
CCL26	0
HIP1	0
LAT2	0
RFC2	0
AUTS2	0
ASL	0
LOC114676888	0
LOC106997401	0
LOC715687	0
EGFR	0
SEC61G	0
UPP1	0
C3H7orf57	0
IGFBP3	0
LOC106997433	0
MYO1G	0
COA1	0
GLI3	0
INHBA	0
LOC720538	0
LOC114676934	0
LOC705095	0
GPR141	-0.00587199328272696
ELMO1	0
AOAH	0
ANLN	0
LOC114676939	0
LOC114676941	0
BBS9	0
LOC709035	0
GARS	0
WIPF3	0
CHN2	0
CREB5	0
JAZF1	0
HOXA11	0
LOC114676956	0
HOXA9	0
HOXA5	0
CYCS	0
OSBPL3	0
IL6	0
LOC114676967	0
ITGB8	0
LOC114676969	0
LOC106997498	0
TWIST1	0
HDAC9	0
LOC106997517	0
LOC114676972	0
AHR	0
LOC114676751	0
AGR3	0
SOSTDC1	0
CRPPA	0
ETV1	0
ARL4A	0
LOC106997524	0
THSD7A	0
GLCCI1	0
RPA3	0
ASNS	0
TAC1	0
LOC106997566	0
SLC25A13	0
DYNC1I1	0
COL1A2	0
GNG11	0
TFPI2	0
CDK6	0
STEAP1	0
ABCB1	0
KIAA1324L	0
FGL2	0
LHFPL3	0
LOC114677006	0
COG5	0
NRCAM	0
LOC106997611	0
IMMP2L	0
DOCK4	0
BMT2	-0.337228033056688
FOXP2	0
MDFIC	0
MET	0
ST7	0
TSPAN12	0
CPED1	0
LOC696128	0
SND1	0
LRRC4	0
TSPAN33	0
AHCYL2	0
STRIP2	0
CPA5	0
LOC114677030	0
LOC708686	0
PLXNA4	0
LOC114677035	0
LRGUK	0
CALD1	0
PTN	0
DGKI	0
TMEM213	0
KIAA1549	0
CLEC2L	0
HIPK2	0
KDM7A	0
BRAF	0
LOC695594	0
LOC114677059	0
LOC697904	0
LOC114677140	0
LOC106997709	0
EPHB6	0
LOC114677064	0
TPK1	0
CNTNAP2	0
EZH2	0
GIMAP4	0
TMEM176B	0
TMEM176A	0
SMARCD3	0
INSIG1	0
LMBR1	0
ESYT2	0
VIPR2	0
LOC106998214	0
AFDN	0
CCR6	0
QKI	0
PACRG	0
PRKN	0
SOD2	0
TAGAP	0
LOC114677456	0
FOXO3	0
SLC16A10	0
REV3L	0
LOC100427957	0
FYN	0
MARCKS	0
CALHM6	0
FAM184A	0
MAN1A1	0
LOC114677472	0
TBC1D32	0
PKIB	0
LOC106998162	0
THEMIS	0
EPB41L2	0
ENPP1	0
MOXD1	0
EYA4	0
SGK1	0
MYB	0
AHI1	0
LOC106998140	0
PDE7B	0
MAP7	0
MAP3K5	0
IL20RA	0
LOC106998135	0
TNFAIP3	0
PERP	0
ARFGEF3	0
NHSL1	0
CITED2	-0.0345485955764133
HIVEP2	0
PHACTR2	0
PLAGL1	0
UTRN	0
STXBP5	0
SASH1	0
UST	0
LOC106998085	0
ZC3H12D	0
LOC694600	0
LOC694216	0
LOC694466	0
IYD	0
LOC114677385	0
PLEKHG1	0
MTHFD1L	0
AKAP12	0
ESR1	0
TIAM2	-0.000713024125823264
LOC106998072	0
ARID1B	0
ZDHHC14	0
SNX9	0.0355143072444209
EZR	0
C4H6orf99	0
PDSS2	0
PRDM1	0
GRIK2	0
ASCC3	0
PRDM13	0
LOC114677537	0
FHL5	0
BACH2	0.0584429488601135
CASP8AP2	0
GABRR2	0
CGA	0
DOP1A	0
TTK	0
SH3BGRL2	0
LOC114677562	0
LOC106998002	0
CD109	0
LOC114677565	0
KHDC3L	0
KCNQ5	0
RIMS1	0
COL19A1	0
LOC114677574	0
LOC716824	0
LOC106997985	0
PRIM2	0
DST	0
MLIP	0
GCM1	0
GSTA1	0
IL17F	0
IL17A	0
PKHD1	0
TDRD6	0
RCAN2	0
CLIC5	0
RUNX2	0
SUPT3H	0
HSP90AB1	0
SLC29A1	0
LOC114677605	0
VEGFA	0
TRERF1	0
TREML2	0
TREML1	0
LOC106997934	0
BTBD9	0
ZFAND3	0
CCDC167	0
PI16	0
RAB44	0
CDKN1A	0
ETV7	0
LOC106997914	0
COL11A2	0
MAMU-DPB	0
MAMU-DPA	0
MAMU-DMA	0
MAMU-DMB	0
MAMU-DQB1	0
MAMU-DQA1	0
MAMU-DRB1	0
MAMU-DRB5	0
MAMU-DRA	0
LOC114677632	0
SLC44A4	0
HSPA1A	0
LOC114669856	0
NCR3	0
LST1	0
LTB	0
TNF	0
LTA	0
IER3	0
UBD	0
TRNAL-AAG	0
TRNAF-GAA-1	0
TRNAA-AGC-3	0
TRNAA-CGC	0
HIST1H1B	0
TRNAQ-UUG-1	0
LOC114677667	0
TRNAI-AAU	0
TRNAI-AAU-1	0
ZNF184	0
TRNAI-AAU-7	0
